cmd_num,delay,ptu_ebay_cmd,ptu_d48_cmd
470,51.8,ps-37,
471,51.9,ps-39,
472,52.0,ps-41,
473,52.1,ps-43,
474,52.2,ps-44,
475,52.3,ps-46,
476,52.4,ps-48,
477,52.5,ps-50,
478,52.6,ps-52,
479,52.7,ps-54,
480,52.8,ps-55,
481,52.9,ps-57,
482,53.0,ps-59,
483,53.1,ps-60,
484,53.2,ps-62,
485,53.3,ps-64,
486,53.4,ps-65,
487,53.5,ps-67,
488,53.6,ps-68,
489,53.7,ps-70,
490,53.8,ps-71,
491,53.9,ps-73,
492,54.0,ps-74,
493,54.1,ps-76,
494,54.2,ps-77,
495,54.3,ps-78,
496,54.4,ps-80,
497,54.5,ps-81,
498,54.6,ps-82,
499,54.7,ps-83,
500,54.8,ps-84,
501,54.9,ps-86,
502,55.0,ps-87,
503,55.1,ps-88,
504,55.2,ps-89,
505,55.3,ps-90,
506,55.4,ps-90,
507,55.5,ps-91,
508,55.6,ps-92,
509,55.7,ps-93,
510,55.8,ps-94,
511,55.9,ps-94,
512,56.0,ps-95,
513,56.1,ps-96,
514,56.2,ps-96,
515,56.3,ps-97,
516,56.4,ps-97,
517,56.5,ps-98,
518,56.6,ps-98,
519,56.7,ps-99,
520,56.8,ps-99,
521,56.9,ps-99,
522,57.0,ps-99,
523,57.1,ps-100,
524,57.2,ps-100,
525,57.3,ps-100,
526,57.4,ps-100,
527,57.5,ps-100,
528,57.6,ps-100,
529,57.7,ps-100,
530,57.8,ps-100,
531,57.9,ps-100,
532,58.0,ps-99,
533,58.1,ps-99,
534,58.2,ps-99,
535,58.3,ps-99,
536,58.4,ps-98,
537,58.5,ps-98,
538,58.6,ps-97,
539,58.7,ps-97,
540,58.8,ps-96,
541,58.9,ps-96,
542,59.0,ps-95,
543,59.1,ps-94,
544,59.2,ps-94,
545,59.3,ps-93,
546,59.4,ps-92,
547,59.5,ps-91,
548,59.6,ps-90,
549,59.7,ps-90,
550,59.8,ps-89,
551,59.9,ps-88,
552,60.0,ps-87,
553,60.1,ps-86,
554,60.2,ps-84,
555,60.3,ps-83,
556,60.4,ps-82,
557,60.5,ps-81,
558,60.6,ps-80,
559,60.7,ps-78,
560,60.8,ps-77,
561,60.9,ps-76,
562,61.0,ps-74,
563,61.1,ps-73,
564,61.2,ps-71,
565,61.3,ps-70,
566,61.4,ps-68,
567,61.5,ps-67,
568,61.6,ps-65,
569,61.7,ps-64,
570,61.8,ps-62,
571,61.9,ps-60,
572,62.0,ps-59,
573,62.1,ps-57,
