delay,ptu_ebay_cmd,ptu_d48_cmd
58.7,ps16,ps-16
58.8,ps16,ps-16
58.9,ps16,ps-16
59.0,ps15,ps-15
59.1,ps15,ps-15
59.2,ps15,ps-15
59.3,ps15,ps-15
59.4,ps14,ps-14
59.5,ps14,ps-14
59.6,ps14,ps-14
59.7,ps14,ps-14
59.8,ps13,ps-13
59.9,ps13,ps-13
60.0,ps13,ps-13
60.1,ps13,ps-13
60.2,ps12,ps-12
60.3,ps12,ps-12
60.4,ps12,ps-12
60.5,ps12,ps-12
60.6,ps11,ps-11
60.7,ps11,ps-11
60.8,ps11,ps-11
60.9,ps11,ps-11
61.0,ps10,ps-10
61.1,ps10,ps-10
61.2,ps10,ps-10
61.3,ps10,ps-10
61.4,ps9,ps-9
61.5,ps9,ps-9
61.6,ps9,ps-9
61.7,ps9,ps-9
61.8,ps8,ps-8
61.9,ps8,ps-8
62.0,ps8,ps-8
62.1,ps8,ps-8
62.2,ps7,ps-7
62.3,ps7,ps-7
62.4,ps7,ps-7
62.5,ps7,ps-7
62.6,ps6,ps-6
62.7,ps6,ps-6
62.8,ps6,ps-6
62.9,ps5,ps-5
63.0,ps5,ps-5
63.1,ps5,ps-5
63.2,ps5,ps-5
63.3,ps4,ps-4
63.4,ps4,ps-4
63.5,ps4,ps-4
63.6,ps4,ps-4
63.7,ps3,ps-3
63.8,ps3,ps-3
63.9,ps3,ps-3
64.0,ps3,ps-3
64.1,ps2,ps-2
64.2,ps2,ps-2
64.3,ps2,ps-2
64.4,ps2,ps-2
64.5,ps1,ps-1
64.6,ps1,ps-1
64.7,ps1,ps-1
64.8,ps1,ps-1
64.9,ps0,ps0
65.0,ps0,ps0
65.1,ps0,ps0
65.2,ps-1,ps1
65.3,ps-1,ps1
65.4,ps-1,ps1
65.5,ps-1,ps1
65.6,ps-2,ps2
65.7,ps-2,ps2
65.8,ps-2,ps2
65.9,ps-2,ps2
66.0,ps-3,ps3
66.1,ps-3,ps3
66.2,ps-3,ps3
66.3,ps-3,ps3
66.4,ps-4,ps4
66.5,ps-4,ps4
66.6,ps-4,ps4
66.7,ps-4,ps4
66.8,ps-5,ps5
66.9,ps-5,ps5
67.0,ps-5,ps5
67.1,ps-5,ps5
67.2,ps-6,ps6
67.3,ps-6,ps6
67.4,ps-6,ps6
67.5,ps-7,ps7
67.6,ps-7,ps7
67.7,ps-7,ps7
67.8,ps-7,ps7
67.9,ps-8,ps8
68.0,ps-8,ps8
68.1,ps-8,ps8
68.2,ps-8,ps8
68.3,ps-9,ps9
68.4,ps-9,ps9
68.5,ps-9,ps9
68.6,ps-9,ps9
68.7,ps-10,ps10
68.8,ps-10,ps10
68.9,ps-10,ps10
69.0,ps-10,ps10
69.1,ps-11,ps11
69.2,ps-11,ps11
69.3,ps-11,ps11
69.4,ps-11,ps11
69.5,ps-12,ps12
69.6,ps-12,ps12
69.7,ps-12,ps12
69.8,ps-12,ps12
69.9,ps-13,ps13
70.0,ps-13,ps13
70.1,ps-13,ps13
70.2,ps-13,ps13
70.3,ps-14,ps14
70.4,ps-14,ps14
70.5,ps-14,ps14
70.6,ps-14,ps14
70.7,ps-15,ps15
70.8,ps-15,ps15
70.9,ps-15,ps15
71.0,ps-15,ps15
71.1,ps-16,ps16
71.2,ps-16,ps16
71.3,ps-16,ps16
71.4,ps-16,ps16
71.5,ps-17,ps17
71.6,ps-17,ps17
71.7,ps-17,ps17
71.8,ps-17,ps17
71.9,ps-18,ps18
72.0,ps-18,ps18
72.1,ps-18,ps18
72.2,ps-18,ps18
72.3,ps-19,ps19
72.4,ps-19,ps19
72.5,ps-19,ps19
72.6,ps-19,ps19
72.7,ps-20,ps20
72.8,ps-20,ps20
72.9,ps-20,ps20
73.0,ps-20,ps20
73.1,ps-21,ps21
73.2,ps-21,ps21
73.3,ps-21,ps21
73.4,ps-21,ps21
73.5,ps-22,ps22
73.6,ps-22,ps22
73.7,ps-22,ps22
73.8,ps-22,ps22
73.9,ps-22,ps22
74.0,ps-23,ps23
74.1,ps-23,ps23
74.2,ps-23,ps23
74.3,ps-23,ps23
74.4,ps-24,ps24
74.5,ps-24,ps24
74.6,ps-24,ps24
74.7,ps-24,ps24
74.8,ps-25,ps25
74.9,ps-25,ps25
75.0,ps-25,ps25
75.1,ps-25,ps25
75.2,ps-25,ps25
75.3,ps-26,ps26
75.4,ps-26,ps26
75.5,ps-26,ps26
75.6,ps-26,ps26
75.7,ps-27,ps27
75.8,ps-27,ps27
75.9,ps-27,ps27
76.0,ps-27,ps27
76.1,ps-27,ps27
76.2,ps-28,ps28
76.3,ps-28,ps28
76.4,ps-28,ps28
76.5,ps-28,ps28
76.6,ps-29,ps29
76.7,ps-29,ps29
76.8,ps-29,ps29
76.9,ps-29,ps29
77.0,ps-29,ps29
77.1,ps-30,ps30
77.2,ps-30,ps30
77.3,ps-30,ps30
77.4,ps-30,ps30
77.5,ps-30,ps30
77.6,ps-31,ps31
77.7,ps-31,ps31
77.8,ps-31,ps31
77.9,ps-31,ps31
78.0,ps-31,ps31
78.1,ps-32,ps32
78.2,ps-32,ps32
78.3,ps-32,ps32
78.4,ps-32,ps32
78.5,ps-32,ps32
78.6,ps-33,ps33
78.7,ps-33,ps33
78.8,ps-33,ps33
78.9,ps-33,ps33
79.0,ps-33,ps33
79.1,ps-34,ps34
79.2,ps-34,ps34
79.3,ps-34,ps34
79.4,ps-34,ps34
79.5,ps-34,ps34
79.6,ps-35,ps35
79.7,ps-35,ps35
79.8,ps-35,ps35
79.9,ps-35,ps35
80.0,ps-35,ps35
80.1,ps-36,ps36
80.2,ps-36,ps36
80.3,ps-36,ps36
80.4,ps-36,ps36
80.5,ps-36,ps36
80.6,ps-36,ps36
80.7,ps-37,ps37
80.8,ps-37,ps37
80.9,ps-37,ps37
81.0,ps-37,ps37
81.1,ps-37,ps37
81.2,ps-38,ps38
81.3,ps-38,ps38
81.4,ps-38,ps38
81.5,ps-38,ps38
81.6,ps-38,ps38
81.7,ps-38,ps38
81.8,ps-39,ps39
81.9,ps-39,ps39
82.0,ps-39,ps39
82.1,ps-39,ps39
82.2,ps-39,ps39
82.3,ps-39,ps39
82.4,ps-40,ps40
82.5,ps-40,ps40
82.6,ps-40,ps40
82.7,ps-40,ps40
82.8,ps-40,ps40
82.9,ps-40,ps40
83.0,ps-40,ps40
83.1,ps-41,ps41
83.2,ps-41,ps41
83.3,ps-41,ps41
83.4,ps-41,ps41
83.5,ps-41,ps41
83.6,ps-41,ps41
83.7,ps-42,ps42
83.8,ps-42,ps42
83.9,ps-42,ps42
84.0,ps-42,ps42
84.1,ps-42,ps42
84.2,ps-42,ps42
84.3,ps-42,ps42
84.4,ps-42,ps42
84.5,ps-43,ps43
84.6,ps-43,ps43
84.7,ps-43,ps43
84.8,ps-43,ps43
84.9,ps-43,ps43
85.0,ps-43,ps43
85.1,ps-43,ps43
85.2,ps-44,ps44
85.3,ps-44,ps44
85.4,ps-44,ps44
85.5,ps-44,ps44
85.6,ps-44,ps44
85.7,ps-44,ps44
85.8,ps-44,ps44
85.9,ps-44,ps44
86.0,ps-45,ps45
86.1,ps-45,ps45
86.2,ps-45,ps45
86.3,ps-45,ps45
86.4,ps-45,ps45
86.5,ps-45,ps45
86.6,ps-45,ps45
86.7,ps-45,ps45
86.8,ps-45,ps45
86.9,ps-46,ps46
87.0,ps-46,ps46
87.1,ps-46,ps46
87.2,ps-46,ps46
87.3,ps-46,ps46
87.4,ps-46,ps46
87.5,ps-46,ps46
87.6,ps-46,ps46
87.7,ps-46,ps46
87.8,ps-46,ps46
87.9,ps-47,ps47
88.0,ps-47,ps47
88.1,ps-47,ps47
88.2,ps-47,ps47
88.3,ps-47,ps47
88.4,ps-47,ps47
88.5,ps-47,ps47
